linkid,click,pageview,preview,total_events,click_rate
580817fb-96bd-4418-9d61-6adcbf483186,95,289,61,445,32.8719723183391
fe8a3fcd-7beb-4db0-8494-5238e1e1cab3,90,302,50,442,29.80132450331126
d601f481-873f-49d5-a313-3d4aed53da78,107,263,71,441,40.68441064638783
cb8d374a-50a0-4d4b-8dba-b84892084f1a,109,289,40,438,37.71626297577855
59515f81-b5f4-40a8-8af9-f871002cd759,146,264,27,437,55.3030303030303
83ed06b2-f8c4-4a3a-b47c-5b790a042d88,89,260,73,422,34.23076923076923
69f88cfa-3a80-48f4-89ac-61fdc0cc43bf,116,250,47,413,46.400000000000006
265cc981-71bd-440c-a738-118a0f8cf12c,131,234,40,405,55.98290598290598
e588ad9d-e5b1-4750-8b34-5040a53ac4f2,107,235,45,387,45.53191489361702
f3820ceb-486c-407c-a8c4-80ac49c2391d,114,226,43,383,50.442477876106196
30ee2950-0e66-47da-87cc-056ab2de284d,110,233,37,380,47.21030042918455
52739682-3aac-490a-b4f2-4cf61e0a1202,93,212,58,363,43.86792452830189
6aebc33e-3788-42c1-be7b-c7a610ebccf5,78,192,56,326,40.625
72735803-aa4d-4b0a-ae34-8093b6c5b2eb,69,191,60,320,36.12565445026178
5dfdea08-eecf-4591-b066-b4f3b7f269d7,85,185,48,318,45.94594594594595
8a10f511-b1ad-453b-9eaa-707adf5ed4ab,91,186,35,312,48.924731182795696
03efbdd8-a128-4edb-972a-6f1476b89cae,102,182,28,312,56.043956043956044
75e1ede1-f70b-4c6c-8198-23c22092f3af,74,181,52,307,40.88397790055249
9d325586-9453-4664-88e8-cdf24c43ffa0,81,194,31,306,41.75257731958763
9d847c0e-6824-438f-9dc1-d76fca6dc87c,63,204,39,306,30.88235294117647
57d2ac39-9a54-4674-b273-6ad9cdbb135d,77,179,46,302,43.01675977653631
0ecfeb63-4c7a-4999-8da3-ad7dff007bac,59,181,53,293,32.59668508287293
b329bd67-e62e-4c16-9d65-74e068d4094b,84,165,40,289,50.90909090909091
4a44b83e-9563-4891-af3f-36fa37421db6,95,187,0,282,50.80213903743316
79be7fba-0b11-4379-9df9-4f38388af5e5,84,157,37,278,53.503184713375795
1d166e49-0c0a-4fca-9456-1b3ebf57ffad,92,185,0,277,49.72972972972973
8b48aa99-94f3-4a8c-9a56-bcc0b2ac9fa8,70,163,41,274,42.944785276073624
0b6a19c0-a832-4275-96b4-4de302b6cb4c,64,169,38,271,37.8698224852071
c95f1fc1-fab0-4c74-b3f5-52bd3684a713,260,6,0,266,4333.333333333334
b581cf43-e148-4b4b-ab27-2e893f16c1cf,73,168,23,264,43.452380952380956
0f737ba8-48f0-4eb1-b29c-01b082e75872,72,153,32,257,47.05882352941176
02f037af-0c46-4ee6-a0fa-08bc7d316fe0,70,157,27,254,44.5859872611465
aad12e68-538d-4867-a78a-7d65bfaf93d3,66,160,25,251,41.25
ebea52fd-8764-489d-a9e8-691125b4f341,66,161,20,247,40.993788819875775
6b792e40-ad88-40d6-9d42-244ea4730bc9,48,147,47,242,32.6530612244898
aa0ae23e-7136-43a9-903b-b55166bbe1e7,58,144,38,240,40.27777777777778
5014b22d-223f-409d-b442-02366786548c,69,138,32,239,50.0
4f4f5cf4-bca5-43f9-a0bc-32fa104dbabc,53,137,46,236,38.68613138686132
f0a8e55f-e00b-45c9-bcbc-1e364b3cc544,65,142,27,234,45.774647887323944
10ec9b91-818c-4b44-a04d-7a058957ee17,75,132,22,229,56.81818181818182
e1926c96-060d-4de0-b3c0-52f72a661ebd,54,136,37,227,39.705882352941174
98590adf-3c0b-4cca-8140-6d1aedad6832,62,146,18,226,42.465753424657535
6dde0f74-cb26-40d0-be7c-2d7f6b93d823,64,118,38,220,54.23728813559322
b8b00717-fea0-4f50-9159-d6fdb544b81e,53,139,28,220,38.1294964028777
7f5b7f03-2494-4150-ba6d-01f4ac2688b9,61,139,17,217,43.884892086330936
52db3420-2f56-4d7d-8b53-57ad96b337d4,47,108,56,211,43.51851851851852
5dacbf0e-f422-4a48-b432-d8d7ad5c60c4,58,130,21,209,44.61538461538462
e93cefc6-8c3e-4990-aeec-8b15e09b1fe8,49,131,28,208,37.404580152671755
c20fd5d7-669a-4d13-bd70-6a02bafb1c61,61,113,29,203,53.98230088495575
511572cd-42a5-441a-beb0-b1a09ef57057,40,130,27,197,30.76923076923077
4ba6baea-468a-48f3-a873-60d1a35544c1,53,118,24,195,44.91525423728814
47e069f1-044f-4f23-8098-1ed6648d89a6,60,111,22,193,54.054054054054056
e89c328a-f804-46bf-8b19-637e82b64618,42,119,29,190,35.294117647058826
f4da6960-c98b-4626-b7b2-6a48f846b940,60,115,13,188,52.17391304347826
ea760970-1df7-406a-8428-c3baf030a801,42,109,33,184,38.53211009174312
410b7776-c184-45ff-8896-c705e5713ddb,38,113,29,180,33.6283185840708
06dc18f9-7d6c-480a-a6f9-282bcdbb213f,40,101,36,177,39.603960396039604
bbab0036-2343-4717-8ae7-595bcb79c0e7,38,105,33,176,36.19047619047619
ceb384f8-e4b2-4034-8521-01635e02f030,53,112,10,175,47.32142857142857
76fbce3f-4465-4b01-a49d-7a963b43ca5a,45,99,26,170,45.45454545454545
fd2b29a0-936f-4093-aa91-79808db7cb1c,47,95,26,168,49.473684210526315
d2be347e-88bb-491c-9478-1216363713ec,42,100,25,167,42.0
9dfb8faf-c0b1-4b42-bb63-1fc84315d394,40,100,26,166,40.0
71339343-0574-49a6-bc1b-22f173665edb,34,99,33,166,34.34343434343434
a4cf1b2b-8f86-4ee8-be6c-a0adc4fcf32e,31,107,27,165,28.971962616822427
039399d5-1963-46af-ac8d-5eae07a42fc8,51,88,26,165,57.95454545454546
b4e48c51-87d6-4ed2-bdfb-9604450dd673,47,93,24,164,50.53763440860215
8d67930e-e893-40e9-99db-50565696a639,43,97,21,161,44.329896907216494
c40647a1-b717-439b-a3c5-0f23ab4402ea,49,86,25,160,56.97674418604651
9ab2b175-85b8-432d-8e82-f3159be870ee,42,91,25,158,46.15384615384615
adbae8d9-91ac-4f1a-a917-0caf72db460b,38,91,28,157,41.75824175824176
7f7c2474-ba82-4f43-b27c-af7de61f2222,53,92,12,157,57.608695652173914
6ecc4c50-8832-4b48-b35a-67cb17d987b4,41,103,12,156,39.80582524271845
3f8df856-e7de-46e8-ad58-65b2dc89b41d,37,97,22,156,38.144329896907216
e3e76165-f5dc-490d-a932-f31ee08e181d,43,88,24,155,48.86363636363637
a69e27fd-4db5-4815-83fa-308ca76c48a3,49,106,0,155,46.22641509433962
eac26804-da3d-4230-8e7c-9baa5728c66a,33,98,23,154,33.6734693877551
e0a76dc3-7ccd-405f-8ee8-a2c55c0e0ed2,40,91,20,151,43.956043956043956
35573248-4e49-47c7-af80-08a960fa74cd,46,77,26,149,59.74025974025974
b0b6b255-06e5-4331-8851-c7a24657fdb4,44,94,10,148,46.808510638297875
f2cc743e-da68-45a0-897f-6c2b53cc9a6b,48,90,9,147,53.333333333333336
a0c8669c-7214-4adf-a1a6-9c3384a12072,37,88,19,144,42.04545454545455
b1ffa256-e411-4afc-82b9-f9d41e569991,37,87,20,144,42.5287356321839
b068694c-1014-4404-9fc8-f81d7c65fb51,39,89,15,143,43.82022471910113
2bea57e9-32e3-4a83-b2a5-6d3c72b9d71d,32,109,0,141,29.357798165137616
8d4a17c2-c34c-4fd2-98c1-b9b561c47a20,26,89,25,140,29.213483146067414
a684364a-ab00-4e7b-8577-74fb1ae35051,21,96,22,139,21.875
29fb3f38-6d5c-4a9c-8e56-cbdf802df6b1,27,82,25,134,32.926829268292686
950cfa6f-ed68-4de6-bbba-ddf697f0eeed,25,80,28,133,31.25
37797237-a393-45b3-ac83-49c863cb78d8,36,75,22,133,48.0
d185cb88-07ed-45fd-b606-490d538fbb62,44,88,0,132,50.0
97395927-4fe8-4021-9f4e-7253a863f82b,30,71,31,132,42.25352112676056
df96edf7-98dd-4342-ad5e-78192a7d8d69,34,82,14,130,41.46341463414634
6613d200-6f39-448c-ad55-bf545c541622,39,77,12,128,50.649350649350644
1daa786c-8675-486c-8789-e6e8af73099b,31,81,15,127,38.2716049382716
0abe764a-da5a-4dcf-a7a1-05ce0df42b16,38,78,8,124,48.717948717948715
fe8f7a23-be9d-49a6-b9b5-d26823c3f911,34,69,19,122,49.275362318840585
ffd3c9e7-c5c5-4f28-b03d-cbaec33f2152,53,67,0,120,79.1044776119403
d1fda16d-f144-4887-b1ed-689af8c54e63,30,78,12,120,38.46153846153847
38eb2b71-d8db-49bb-859b-ace93cf57ba3,35,67,15,117,52.23880597014925
adb13afc-bb17-4ebd-9687-36778fb485c0,30,62,20,112,48.38709677419355
da5911ea-d783-4e62-b7d6-78673e0d966f,36,67,9,112,53.73134328358209
3a3b7164-6c26-45a7-a64b-0b1ade487d50,30,68,13,111,44.11764705882353
ffd8d5a7-91bc-48e1-a692-c26fca8a8ead,25,67,18,110,37.3134328358209
d4222091-3029-4709-b054-ae4760d8c556,32,68,9,109,47.05882352941176
db891585-33f6-48af-a6dc-7914bcadcfd6,34,65,8,107,52.307692307692314
1a8a4c5a-1b4d-4ea4-b6e3-46fdd049c885,15,69,21,105,21.73913043478261
984156c3-74f2-4777-8f19-1f9753dc7b0e,34,69,0,103,49.275362318840585
fce541bf-202b-489e-b8a0-734970be4f68,25,69,9,103,36.231884057971016
436d360b-5893-4f8e-84d5-93df533be20b,29,59,13,101,49.152542372881356
8f8d1aee-decb-46a3-9f1a-f081a3ab294b,30,60,11,101,50.0
d59af69f-10d8-4857-a851-b204c77d8856,26,62,12,100,41.935483870967744
7fcf3fce-fed0-4e90-9dc5-6d28287e53ee,24,62,14,100,38.70967741935484
c18ad316-0819-49e2-a63f-639de9a4c408,22,66,12,100,33.33333333333333
e0a04996-a01b-4c35-8cda-cadb018111f3,25,62,11,98,40.32258064516129
5d1efb00-a2af-45ce-89ab-fdbaf932c71a,27,50,21,98,54.0
1c7a22a2-6a58-4f9b-a615-5e05fa8cacc0,17,68,12,97,25.0
4bd6fbda-d0be-435b-82e3-782d0a57235f,24,60,12,96,40.0
6cc49ccc-5d2a-4725-af9d-69a77c776076,19,62,15,96,30.64516129032258
2fd3dbb9-5555-43fa-9d69-437e55f2578d,27,60,9,96,45.0
82875218-1d23-4662-a319-bb602a5da617,26,54,15,95,48.148148148148145
e9aaa390-ec48-4328-9a51-435604640f8b,26,56,13,95,46.42857142857143
92466da5-ec5d-4c0c-af9a-74213285c93c,23,57,15,95,40.35087719298245
4b849fae-e8be-4d59-bcb4-b803e4da5e67,14,64,16,94,21.875
646cb6e2-e374-435f-880c-fd9a61829214,26,56,12,94,46.42857142857143
6d539543-a448-497a-aec3-925f2993aab7,30,60,4,94,50.0
02823b3f-4a07-43de-a4a2-fa9acfc2c55f,19,60,12,91,31.666666666666664
6787b7a2-4726-4489-8a18-0beab97920c6,20,57,14,91,35.08771929824561
55b65f67-3b60-4f8f-b14b-65a4ffaa729e,20,54,15,89,37.03703703703704
b9cf3f6e-0d4c-4011-b6a2-85c953e12290,21,61,7,89,34.42622950819672
4b2165db-bf71-4df1-95d0-3929f3398a59,21,56,11,88,37.5
b8be9e55-c2cc-4988-8921-469abff8c891,19,49,18,86,38.775510204081634
902ebdda-078a-4f87-8547-af3942cb6855,26,51,8,85,50.98039215686274
c11b39a3-0692-42ab-90da-f0c7585eea71,24,53,8,85,45.28301886792453
b2cc2cdc-ae04-47dd-95ff-c5710742425a,23,52,7,82,44.230769230769226
371309b2-f2e6-4537-b9c9-e0ca0971845f,19,62,0,81,30.64516129032258
28e649e0-3bc1-44c0-9660-c9e369ab9008,21,48,12,81,43.75
ef8ddc25-fa47-4bab-8222-638d909a70be,21,47,13,81,44.680851063829785
a6f76bd9-6065-4d02-88f4-158d783e05b0,17,51,13,81,33.33333333333333
2ac33111-c816-4562-9f32-a43b0ea06911,17,48,13,78,35.41666666666667
0ea9f8bf-a144-42bd-a7b0-124e73914da4,18,48,12,78,37.5
e3818dee-32c6-4a82-a7c5-4d72eb0f3cc2,18,50,10,78,36.0
b8b6975b-df18-49c0-89e3-c9b06cefcba5,21,46,10,77,45.65217391304348
6a664635-961f-4a51-9451-d5d95c3e5861,19,49,8,76,38.775510204081634
4071219f-48fb-4752-ac99-f699137d4929,14,44,18,76,31.818181818181817
c063f2de-4355-4879-929f-52083e01b4ca,15,51,8,74,29.411764705882355
08bc2f1c-5c52-4616-acbd-de4e7a62c7bc,25,39,9,73,64.1025641025641
08f2fa0d-7f49-4dc6-af22-f224d729d25b,13,46,12,71,28.26086956521739
2a9fb276-3b57-48d0-aa01-23e2843ec57e,18,40,12,70,45.0
67f82b23-8712-49c6-a761-24700c6452dd,12,44,13,69,27.27272727272727
77affb7c-b1bc-46b0-8930-b6449d19891f,19,40,10,69,47.5
65745fc1-18b6-4f83-9e92-a8aebe1ae74f,20,40,9,69,50.0
a82495d3-5a38-4010-894f-c64fa3b9c6ef,20,33,15,68,60.60606060606061
36379c31-def5-4a0d-a67f-e841d583c019,11,38,18,67,28.947368421052634
dc8b31ce-6645-4856-bfb3-03460619474a,17,44,6,67,38.63636363636363
cc1775fc-579d-4393-a850-d2cffbc42cfd,21,38,7,66,55.26315789473685
4e282747-1d49-4929-a9a6-be2b5aac2632,12,45,9,66,26.666666666666668
dabb9f65-4c19-49b1-aaeb-db0616792358,14,46,6,66,30.434782608695656
0634f1b7-c477-4372-9031-8e892451da1b,20,36,9,65,55.55555555555556
03d964dd-dc2b-413c-af9f-46ebc7ff589c,17,40,7,64,42.5
f6558ade-23bb-4816-9ca5-ce71d447930d,16,39,8,63,41.02564102564102
0c197c54-ad5d-422f-8880-6f4a98908331,15,43,5,63,34.883720930232556
9afe6b90-b87c-44ec-a993-7c03d71b9093,13,39,10,62,33.33333333333333
09143c07-50e6-4002-907f-e656c3a46213,22,38,2,62,57.89473684210527
69d6a051-90e8-489b-9f9e-14a94b172d84,14,37,11,62,37.83783783783784
ea6506f4-33f3-4fc1-8d5b-f0025d3e4cf2,16,40,5,61,40.0
50b55b68-e7a2-44f7-bd7b-5bbfc45f12e4,17,34,10,61,50.0
f2cef536-5a20-4dc1-a973-600051bdea04,23,34,3,60,67.64705882352942
af483035-a62c-485c-8e98-257f35e23b4d,15,40,5,60,37.5
724e70eb-f6dc-4fd0-a1bb-fb3b6a883ee1,17,35,7,59,48.57142857142857
76a15ee8-2c77-4b22-a96b-3ddbd72194da,15,39,5,59,38.46153846153847
efa4cdfe-f905-4e60-9de3-17f3095a120f,17,35,6,58,48.57142857142857
ce2bcfa1-031f-47e6-af5e-aac0d58cb090,14,33,9,56,42.42424242424242
be1e9dcb-6a7e-4e9b-ba75-0c52f551e55b,17,33,5,55,51.515151515151516
cecf46de-5dd6-46d4-9760-b537c0e741b6,14,35,6,55,40.0
00829040-ee01-4409-966d-d67c7965144a,14,31,9,54,45.16129032258064
36d81618-b800-40bb-bb92-fe37d3d0151f,12,32,10,54,37.5
535220b8-bac0-435b-a03e-cf195af840ab,12,35,7,54,34.285714285714285
224139fd-a7d9-4fc6-b4c4-7dcc94ac3b07,11,38,4,53,28.947368421052634
f8d91675-dfee-4bcb-a7fb-55d70033618c,16,32,5,53,50.0
dcaa0282-674e-4980-8dca-19c0296b18ad,15,29,8,52,51.724137931034484
8b584f99-12ef-4bfb-93ec-bf1f40357378,11,31,10,52,35.483870967741936
bbfa8070-2b9c-47e7-907c-5af3e53aecef,13,31,7,51,41.935483870967744
20e69541-3844-4240-9ed7-2ab51f188907,18,30,3,51,60.0
3549278c-5732-44b2-b606-2908f4e2375f,14,34,2,50,41.17647058823529
39b4991d-4d18-43c7-be4c-992545e31f8c,10,35,5,50,28.57142857142857
16086160-82ff-418a-bdc5-ee35985c059d,15,30,4,49,50.0
77bba27c-3fcd-4514-b283-5c09c64a4723,13,25,10,48,52.0
a21eb9bb-4ee3-4cb4-8ba0-500c117cec55,7,33,8,48,21.21212121212121
339a61ec-9379-5805-aa3b-baa2f13acb43,19,29,0,48,65.51724137931035
165ee0c1-f116-42e4-818d-e22250077010,13,30,4,47,43.333333333333336
61923241-cf99-4fe2-b9ec-6cf356565842,8,30,8,46,26.666666666666668
dc1e0321-73a5-4254-bce4-57e4fa9c562b,6,29,10,45,20.689655172413794
a308faf2-b059-43d5-97a6-f334109060ff,10,32,3,45,31.25
afe8194e-5002-4e56-bc96-060bf355402d,19,24,1,44,79.16666666666666
7db28342-6cc6-4264-b873-b632aa15ba94,7,25,11,43,28.000000000000004
006af6a0-1f0d-4b0c-93bf-756af9071c06,6,26,11,43,23.076923076923077
ad3efd03-76e9-41bf-9550-1029bdb3e7aa,13,27,3,43,48.148148148148145
b8b933dd-8ff9-40e6-a44e-defeb47b0d25,12,28,2,42,42.857142857142854
37e79781-fe45-481c-9c26-7be53505a48b,7,27,7,41,25.925925925925924
8526de3b-a7b2-4a5d-8c91-87d19d62985b,6,26,9,41,23.076923076923077
199dedd7-4eeb-40f0-8fe6-7444d4650ce6,9,23,8,40,39.130434782608695
77fd2853-1b51-413d-a3a1-b6130cfab45a,8,26,6,40,30.76923076923077
caaac703-5f13-488e-abc7-c3a19cc7dd24,12,26,2,40,46.15384615384615
3c9aec9d-ad76-419b-9b1e-6ac68bd1dc00,7,24,9,40,29.166666666666668
47f54e58-af71-4580-9182-364b14b7740a,16,21,3,40,76.19047619047619
7cfb390a-568a-472a-ae9e-d800a77abe21,10,22,8,40,45.45454545454545
b6962674-04cc-4ac3-bbdd-107829ca1000,7,24,7,38,29.166666666666668
745d80d7-6dea-45d1-9a1f-fd2d710c828d,8,26,4,38,30.76923076923077
716eac15-751c-4636-83b6-37603f3224df,9,26,3,38,34.61538461538461
19c9ea97-9206-466b-864b-2c27e718ddb5,14,19,4,37,73.68421052631578
922a7ef6-8ed7-4885-a520-6b55b07697f2,12,23,1,36,52.17391304347826
16fb1e6d-1d69-45d0-a8f5-7c6325f611d6,9,22,5,36,40.909090909090914
4f7f60e2-6c6f-4b45-8f2c-b604a2c80fdb,7,23,6,36,30.434782608695656
c7ca19fe-a533-4b8a-85c7-faed28ead5e5,13,20,2,35,65.0
a127878a-09d4-48c9-a5ca-305736e5238b,5,25,5,35,20.0
e1e0b741-3076-405f-a3e9-c613a946c969,13,21,1,35,61.904761904761905
51a9a818-40d2-432d-b48a-9dcff61c6278,13,21,1,35,61.904761904761905
66c24208-4bfa-4959-a673-80cdc5577fda,7,22,5,34,31.818181818181817
1d6e5400-93fa-4e4b-8e1d-cb00080b8cff,5,22,7,34,22.727272727272727
8a276975-aa6a-4010-9708-b91f66f40031,10,20,4,34,50.0
4c402853-c65b-4ea5-ac65-04a9faf5c043,7,19,8,34,36.84210526315789
10fe34db-7a1b-4078-b5f5-60c280e1dd4b,9,24,1,34,37.5
0dd50d8e-6249-4500-9cea-8b5b4048c272,11,17,5,33,64.70588235294117
4aedbab2-d3a1-4d32-9417-9d8b094e47a7,10,22,1,33,45.45454545454545
1d6148b6-209b-4739-ae75-5e538e47762b,11,22,0,33,50.0
63fcfda6-6955-492d-8ca5-75c4828437b2,4,23,5,32,17.391304347826086
1f6d179b-64b7-4f6c-9688-be3f27a58c52,11,18,3,32,61.111111111111114
c48de149-3458-4c02-afb4-dfec3b1440dc,13,18,1,32,72.22222222222221
53992076-fdd2-4253-8d72-9670814f4db5,9,23,0,32,39.130434782608695
407c1b2a-06cd-406d-8de9-4faf1c53585d,10,21,1,32,47.61904761904761
da860428-dc84-4589-b574-0e67757d207e,8,21,2,31,38.095238095238095
22b7adaa-d1ff-4824-a947-db5d2f52cdce,8,17,6,31,47.05882352941176
c83c9d90-2ed8-48d7-8ef7-592a35607653,7,20,3,30,35.0
ab54a51a-a192-4f21-bc67-1346cc87c68a,9,17,4,30,52.94117647058824
642ad919-c6a8-4aab-9df8-5786e2cd7f57,7,17,6,30,41.17647058823529
186bd3cc-ee24-4659-9bd4-6e04c17203d7,3,23,4,30,13.043478260869565
5e203fb8-843f-4826-96b7-53a760438fa3,4,24,1,29,16.666666666666664
5c53a89a-1d15-4ecf-ba7e-8b1ef4e99ec7,6,20,3,29,30.0
285a9581-d87b-4ad2-a81f-6d6e0d818737,7,17,5,29,41.17647058823529
3c757f64-b707-4984-9b39-3846707f1508,10,18,0,28,55.55555555555556
2b30548c-f2c0-4e6e-a1f5-28da547560dc,7,15,6,28,46.666666666666664
f968eefa-4095-4dd5-aee1-41bb86ec847b,8,17,2,27,47.05882352941176
c5365aec-7332-4861-bef9-e85423ab19d9,5,17,5,27,29.411764705882355
5f5137b8-3b7d-465c-abc4-7d9ef76da11a,5,19,3,27,26.31578947368421
59547458-b707-4cb5-9a28-4ec0d49ce6f5,6,19,2,27,31.57894736842105
7a58381e-5685-4f9a-9607-6f1b70da9e55,6,16,4,26,37.5
e79f6274-802f-4c53-9113-455e310ad2f8,5,16,5,26,31.25
3efd6703-5a51-4221-b3a1-dc272644aa58,9,16,1,26,56.25
6fc9fa58-44af-4386-a951-4479f796ab69,4,17,4,25,23.52941176470588
e5575c91-3e64-4fcd-83f9-32d6743d8534,8,14,3,25,57.14285714285714
a4eae39c-94c7-481b-9657-ece340958ffb,6,15,4,25,40.0
20c6481c-8770-4ca9-82be-01c4746a118d,7,15,3,25,46.666666666666664
232f1d36-89be-5e87-b9fc-88d395b65138,7,17,0,24,41.17647058823529
3a3b453a-7dc1-547e-a3e9-443fe89bb6bc,9,15,0,24,60.0
